Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0339413550611,-2.31586087358626E-05,0.0999304628614501,0,0,0,7.48699011088476,0.0388213139945611,1.55653817415135E-05,-0.00111870477566242,0.0609468745248538,1.10362007676236E-05,0.0543745416553623,0,0,0,0,0,0,package://mz07l/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/base_link.STL,,-MZ07L-01_STEP.stp1.step-1,Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.014841,1.5699E-05,0.081192,0,0,0,4.412,0.035899,5.2201E-07,-0.0047926,0.023641,-8.4594E-06,0.030311,0,0,0,0,0,0,package://mz07l/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link1.STL,,MZ07L2_STEP.step-1,Coor1,基准轴1,J1,revolute,0,0,0.197,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,-0.032892,-0.19917,-0.00011311,0,0,0,6.848,0.14404,-0.013206,2.2979E-05,0.031526,0.00015771,0.12908,0,0,0,0,0,0,package://mz07l/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link2.STL,,MZ07L3_STEP.step-1,Coor2,基准轴2,J2,revolute,0.05549,0,0.15313,-1.5708,0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,-0.0090499,-0.020552,-0.00035078,0,0,0,2.9258,0.0079804,0.00090576,-2.4093E-05,0.010878,4.0089E-05,0.013867,0,0,0,0,0,0,package://mz07l/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link3.STL,,MZ07L31_STEP.step-1,Coor3,基准轴3,J3,revolute,-0.043963,-0.40764,0.0005,0,0,-0.10743,Link2,0,0,-1,0,0,0,0,,,,,,,,
Link4,0.00015954,0.00087417,-0.18756,0,0,0,3.6583,0.036368,1.7012E-05,-1.3478E-05,0.034763,-0.00043475,0.0075828,0,0,0,0,0,0,package://mz07l/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link4.STL,,MZ07L4_STEP.step-1,Coor4,基准轴4,J4,revolute,0.44,-0.044808,0,1.5708,0,1.5708,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,0.0230406181638934,2.08510693291419E-05,-0.00447853212657651,0,0,0,0.394276330704897,0.000415412041832548,-1.54162941581748E-08,-4.17402909160816E-05,0.000538362833357643,-6.30830998657262E-07,0.00049121106760061,0,0,0,0,0,0,package://mz07l/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link5.STL,,MZ07L5_STEP.step-1,Coor5,基准轴5,J5,revolute,0,0,0,1.5708,-1.5708,0,Link4,0,0,-1,0,0,0,0,,,,,,,,
Link6,-0.000274575549283895,-7.3596587501723E-05,0.0700828204222902,0,0,0,0.0303019437346346,1.15411086776968E-05,7.12436535151465E-08,-9.30040373570713E-09,1.10884190423027E-05,-2.47999052156489E-09,2.14713687887249E-05,0,0,0,0,0,0,package://mz07l/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Link6.STL,,MZ07L6_STEP.step-1,Coor6,基准轴6,J6,revolute,0,0,0,1.5708,0,1.5708,Link5,0,0,-1,0,0,0,0,,,,,,,,
Tool,-0.000274575549283895,-7.35965875017786E-05,-0.00291717957770976,0,0,0,0.0303019437346346,1.15411086776968E-05,7.12436535151464E-08,-9.30040373568712E-09,1.10884190423027E-05,-2.47999052156478E-09,2.14713687887249E-05,0,0,0,0,0,0,package://mz07l/meshes/Tool.STL,1,1,1,1,0,0,0,0,0,0,package://mz07l/meshes/Tool.STL,,MZ07L6_STEP.step-1,Coor7,,J7,fixed,0,0,0.073,0,0,0,Link6,0,0,0,,,,,,,,,,,,
